time,smaller,larger,outer,inner,updates
0.194,2,829,829,0,0
1.402,2,3684,3684,3,3
0.577,2,977,977,2,2
0.349,2,1151,1143,5,5
1.342,1,16009,16009,1,1
0.195,1,834,834,0,0
1.372,1,3684,3684,0,0
0.575,1,977,977,0,0
1.341,1,16009,16009,1,1
0.198,1,834,834,1,1
1.375,1,3684,3684,0,0
0.575,1,977,977,0,0
1.363,2,16009,16009,2,1
0.196,2,834,834,0,0
1.37,2,3684,3684,0,0
0.566,2,977,977,0,0
1.341,1,16009,16009,1,1
0.194,1,834,834,0,0
1.358,1,3684,3684,0,0
0.564,1,977,977,0,0
